Category,Metric_Name,Value,Unit,Notes
Robustness Grid,vol_absolute_usd_weekly_w50_h4 - Mean TCI,25.15,%,
Robustness Grid,vol_absolute_usd_weekly_w50_h4 - Mean Net Vietnam,-1.29,%,
Robustness Grid,vol_absolute_usd_weekly_w50_h4 - Vietnam Transmitter Share,45.32,%,
Robustness Grid,vol_absolute_usd_weekly_w60_h1 - Mean TCI,15.38,%,
Robustness Grid,vol_absolute_usd_weekly_w60_h1 - Mean Net Vietnam,-0.53,%,
Robustness Grid,vol_absolute_usd_weekly_w60_h1 - Vietnam Transmitter Share,17.18,%,
Robustness Grid,vol_absolute_usd_weekly_w60_h2 - Mean TCI,22.11,%,
Robustness Grid,vol_absolute_usd_weekly_w60_h2 - Mean Net Vietnam,-1.05,%,
Robustness Grid,vol_absolute_usd_weekly_w60_h2 - Vietnam Transmitter Share,44.49,%,
Robustness Grid,vol_absolute_usd_weekly_w60_h4 - Mean TCI,22.87,%,
Robustness Grid,vol_absolute_usd_weekly_w60_h4 - Mean Net Vietnam,-1.06,%,
Robustness Grid,vol_absolute_usd_weekly_w60_h4 - Vietnam Transmitter Share,45.38,%,
