date,TCI,lag_selected,FROM_Indonesia,TO_Indonesia,Net_Indonesia,FROM_Malaysia,TO_Malaysia,Net_Malaysia,FROM_Philippines,TO_Philippines,Net_Philippines,FROM_Singapore,TO_Singapore,Net_Singapore,FROM_Thailand,TO_Thailand,Net_Thailand,FROM_Vietnam,TO_Vietnam,Net_Vietnam
2013-12-27,12.229617075027184,1,17.406345221886028,19.49389328087949,2.0875480589934625,7.592234756492999,5.786166364578079,-1.8060683919149199,17.705449443706627,18.368827425072766,0.6633779813661391,14.653930419832534,12.513826783421734,-2.1401036364107995,13.483498340082335,14.426143963261595,0.9426456231792599,2.5362442681625765,2.7888446329494343,0.25260036478685777
2014-01-03,11.970617778829114,1,17.180325497414557,19.62877519616714,2.448449698752583,7.569856121225428,6.011843751475922,-1.5580123697495054,17.060238468656678,17.476421196300393,0.4161827276437151,14.491282954611535,12.064143199010829,-2.427139755600706,13.062446410603897,13.830495129812931,0.768048719209034,2.4595572204625853,2.812028200207507,0.3524709797449219
2014-01-10,12.062695667031262,1,18.053562312726243,20.134160267589976,2.080597954863734,7.2831075474031906,5.9904340785111145,-1.292673468892076,16.819822419579538,17.513938799165146,0.6941163795856085,14.672029785624161,12.006770922873585,-2.6652588627505764,12.983365127113757,13.628349444030803,0.6449843169170464,2.564286809740679,3.1025204900169427,0.5382336802762637
2014-01-17,12.083531176247186,1,17.931511407783645,20.09290825580085,2.1613968480172048,7.302535405123535,5.891851872144386,-1.4106835329791494,16.748580240148158,17.614578611900782,0.8659983717526245,14.367570079498847,11.251900027647366,-3.115670051851481,13.647509630392122,14.505273598088834,0.8577639676967124,2.503480294536814,3.144674691900846,0.6411943973640319
2014-01-24,11.882086391816214,1,17.172478087684112,19.534064610264124,2.361586522580012,7.309778292930417,5.823830396847626,-1.4859478960827914,16.419366259051728,17.4310792477106,1.0117129886588714,14.283061470950372,11.204682553924485,-3.078378917025887,13.583068558549016,14.357739084233984,0.774670525684968,2.524765681731637,2.9411224579164497,0.4163567761848128
2014-01-31,11.870803837647173,1,16.726736163120762,18.943011895749777,2.216275732629015,7.482060843402451,5.844910259607985,-1.6371505837944653,16.50814476840236,17.42350883354409,0.9153640651417305,14.121772915585694,11.285680076401135,-2.836092839184559,13.781742894785808,14.68590481571151,0.9041619209257021,2.6043654405859655,3.0418071448685566,0.4374417042825911
2014-02-07,11.88226497246079,1,16.90434358417636,19.63716484794658,2.7328212637702194,7.848229817838515,5.9153396784502945,-1.9328901393882205,16.412020128120304,17.649351794253874,1.2373316661335707,14.026345683295432,10.873292599173084,-3.153053084122348,13.62982205580981,14.404495059834645,0.7746730040248337,2.472828565524324,2.8139458551062404,0.34111728958191634
2014-02-14,11.922710253751148,1,17.316899907335042,19.58162460655018,2.2647246992151366,7.828195726840306,5.890977888657531,-1.9372178381827752,16.52709690923311,18.15079611158025,1.6236992023471402,13.65713181122021,10.742998069043338,-2.9141337421768725,13.562617763744115,14.450545022722281,0.8879272589781664,2.6443194041341087,2.719319823953299,0.07500041981919026
2014-02-21,11.928630571140097,1,17.31662533232945,19.592563837349104,2.275938505019653,7.7628120700461665,6.005111027426096,-1.75770104262007,16.711316768352702,18.360862984821964,1.6495462164692611,13.692641021944894,10.713630452557155,-2.9790105693877393,13.316249053450221,14.11453495969215,0.7982859062419294,2.772139180717147,2.7850801649941133,0.012940984276966105
2014-02-28,12.249005643897837,1,16.774854423006957,20.592090472321573,3.817236049314616,8.900451589959445,7.181172225510025,-1.7192793644494202,16.549531869164696,16.87438340488748,0.3248515357227859,15.483856465968557,11.480277769236693,-4.003578696731864,12.836135745460624,13.662852640366935,0.826716894906312,2.949203769826738,3.7032573510643374,0.7540535812375992
2014-03-07,12.830403618771,1,18.85466521592768,19.96227328712935,1.1076080712016676,9.477390722843495,8.503901765951667,-0.9734889568918277,16.072651230946292,17.33294021456578,1.260288983619489,15.098497718785552,11.613640208575418,-3.4848575102101336,14.602716194873736,15.63815317365598,1.0354369787822435,2.876500629249236,3.9315130627477686,1.0550124334985327
2014-03-14,13.049150407552771,1,18.94866710373728,20.90958639486267,1.9609192911253928,9.663313657288782,8.355408406921626,-1.3079052503671562,16.442345393568118,17.6341753970016,1.1918300034334806,15.254905550747964,11.546407047676183,-3.7084985030717803,15.068816688450525,16.014291645823022,0.9454749573724968,2.9168540515239556,3.835033553031508,0.9181795015075522
2014-03-21,13.183807041036324,1,18.727718227242235,20.569452920784514,1.8417346935422785,9.945557378072209,8.216327309161741,-1.7292300689104678,16.700888190537682,17.994781650973025,1.293893460435342,14.92203832555245,11.532897690119398,-3.3891406354330513,15.899056840485855,16.891685597303237,0.9926287568173819,2.907583284327515,3.8976970778760744,0.9901137935485593
2014-03-28,13.288510041243788,1,18.908454539984973,20.728852844798908,1.820398304813935,10.014174043517286,8.05277784489553,-1.961396198621756,16.82960526641679,18.373415939478562,1.5438106730617704,14.86020574286681,11.56645807749193,-3.2937476653748803,16.07473230208727,17.178024473808094,1.103292171720824,3.0438883525895903,3.8315310669896974,0.787642714400107
2014-04-04,13.409943914800621,1,18.92246043296079,20.88323707984172,1.9607766468809302,9.953937542694476,8.091585128920869,-1.862352413773607,17.095072537295508,18.730099656860716,1.6350271195652084,14.965945333175867,11.646200741126862,-3.3197445920490054,16.14095899942413,17.208801559521447,1.0678425600973185,3.381288643252958,3.899739322532085,0.5184506792791268
2014-04-11,13.23243060761186,1,18.461710270840683,20.305734102551412,1.8440238317107287,10.339404627255547,8.592579992296052,-1.746824634959495,16.574823430633344,18.22121386066479,1.6463904300314454,14.862956108702903,11.562842823742656,-3.300113284960247,15.87301978311578,16.946411113462275,1.073391330346496,3.2826694251229043,3.765801752954019,0.4831323278311146
2014-04-18,13.310220357800562,1,18.57370416638473,19.924168037647632,1.3504638712629031,10.090492011268438,8.504610691491834,-1.585881319776604,16.57007729405278,18.00453080707203,1.4344535130192497,14.770195046346515,11.428690694783342,-3.3415043515631737,16.355466517875584,17.490628317399015,1.1351617995234307,3.501387110875328,4.508693598409479,1.0073064875341515
2014-04-25,13.582377912331026,1,18.519810734944173,20.00387006027249,1.4840593253283174,9.769557576333455,8.528243016764094,-1.2413145595693607,17.147243178557915,18.252672004625197,1.105428826067282,14.533134302201645,11.116920067296576,-3.4162142349050697,17.616420511160044,19.277687297859643,1.6612667866995992,3.9081011707889246,4.314875027168185,0.4067738563792602
2014-05-02,13.672038683965853,1,18.50526913839029,20.349426972719925,1.8441578343296356,9.723630754625106,9.118349113622543,-0.6052816410025628,17.040874829895415,17.824006861626884,0.7831320317314692,14.754899938723497,11.261860357095514,-3.4930395816279827,17.925847633717765,18.746887268853968,0.8210396351362022,4.081709808443051,4.731701529876332,0.6499917214332811
