date,Indonesia_Malaysia,Indonesia_Philippines,Indonesia_Singapore,Indonesia_Thailand,Indonesia_Vietnam,Malaysia_Philippines,Malaysia_Singapore,Malaysia_Thailand,Malaysia_Vietnam,Philippines_Singapore,Philippines_Thailand,Philippines_Vietnam,Singapore_Thailand,Singapore_Vietnam,Thailand_Vietnam
2010-01-04,-0.9999999999877642,0.999999999956612,-0.9999999999790242,0.9999999999738508,0.9999999999857935,-0.999999999974947,0.999999999987888,-0.999999999984901,-0.9999999999917968,-0.9999999999570512,0.9999999999464585,0.9999999999709116,-0.9999999999741156,-0.9999999999859372,0.9999999999824689
2010-01-05,-0.9771303468780468,0.9652871676359714,-0.9830935397144661,0.994858828602474,0.9998418510427971,-0.9987513336569943,0.9995459980921203,-0.9505722636740511,-0.9731941901859944,-0.9967926885749138,0.9338732743452516,0.9604894733506866,-0.9594960709054108,-0.9796817307365747,0.9965025109126969
2010-01-06,-0.9640355766601644,0.7466492967646204,-0.9813504667364511,0.9344420887757136,0.9985914138072476,-0.8673291927936295,0.9944787033138065,-0.9343222126942106,-0.9509752216945118,-0.8113924953762518,0.88973865992037,0.7103034314840561,-0.9195548444703291,-0.973760495074826,0.9177174124239071
2010-01-07,-0.9216137832887132,0.7395113498539203,-0.8485152366637483,0.9131488054556514,0.9934916478455688,-0.860275799023639,0.9688781547099177,-0.9312233278790859,-0.9326650335474387,-0.7584499039433796,0.8891027230121684,0.7111510116390539,-0.8757203100604879,-0.8872108425118401,0.9120114883474237
2010-01-08,-0.9188342271707951,0.6546138178047151,-0.8431306757438007,0.8756049923621174,0.9503964564218939,-0.7229275271054336,0.9486737623314618,-0.8637499625641575,-0.9183141739851955,-0.7144800925180551,0.8828515557367695,0.47867171654743,-0.8632531143056044,-0.8141631986409011,0.7573887234930605
2010-01-11,-0.9203004612399057,0.5908854676081501,-0.8293358836837428,0.8358063028889012,0.951322282037762,-0.6577484254361782,0.9345172021494954,-0.8253505562752372,-0.9197902941036545,-0.6995224527347427,0.8825017656579777,0.4177842221374125,-0.8581833036999987,-0.7983744904814568,0.7162651371349472
2010-01-12,-0.9229561511767663,0.5256772845252466,-0.7939086807932141,0.7249200491472199,0.9499475662254004,-0.5883909793713827,0.8957753624774759,-0.7133305235682921,-0.9204682676374458,-0.7004443317280853,0.8871492157428911,0.33233036204792354,-0.8422306512028671,-0.7393553890789702,0.572841336045049
2010-01-13,-0.9201120104510037,0.4935479321124813,-0.7375572867319532,0.6858644842638313,0.9436041218386788,-0.5726274635888803,0.862550095946502,-0.6944062596488584,-0.899023118244585,-0.7068188707427604,0.8892533306234408,0.2769196721352308,-0.8454432970396459,-0.6370128210660276,0.501315541486563
2010-01-14,-0.9153109125192781,0.4827990462879494,-0.6962492406918279,0.6327797414922126,0.9436723733760437,-0.5412972936336538,0.7781329297204103,-0.5987398034560255,-0.8962997656195081,-0.7088595898509845,0.8756709526878534,0.26577677482472106,-0.857269070200206,-0.5944094923421892,0.4522940620583844
2010-01-15,-0.8370026289634586,0.5210110527938931,-0.6163354284314428,0.6025848453882411,0.8861450112455941,-0.44851475244533623,0.7850945699760096,-0.597681739665795,-0.8964910398025769,-0.5908572245393092,0.8096976489862462,0.2141317648563837,-0.848961045315036,-0.6004847924963055,0.4543344005241777
