date,Indonesia_Malaysia,Indonesia_Philippines,Indonesia_Singapore,Indonesia_Thailand,Indonesia_Vietnam,Malaysia_Philippines,Malaysia_Singapore,Malaysia_Thailand,Malaysia_Vietnam,Philippines_Singapore,Philippines_Thailand,Philippines_Vietnam,Singapore_Thailand,Singapore_Vietnam,Thailand_Vietnam
2010-01-05,0.9999999999838864,0.9999999999026181,0.9999999999478899,-0.9999999867597926,0.9999999999826359,0.9999999999585315,0.99999999997781,-0.99999999436188,0.9999999999926058,0.9999999998658946,-0.9999999659262659,0.9999999999553134,-0.9999999817667766,0.9999999999760877,-0.9999999939243109
2010-01-06,0.9931733147933499,0.9897168299682921,0.9923109321810327,-0.4523995257813033,0.9984753342964965,0.9996457444367933,0.9999742669877493,-0.3452826158375667,0.9980979945784527,0.9998109583673424,-0.320181669809563,0.9961036375168307,-0.3385410027395194,0.9976300567146702,-0.4024818281225931
2010-01-07,0.9852363102134521,0.8238498979787366,0.9921738935337844,-0.35773233774375857,0.9888453751810138,0.8960647627566538,0.9880652721551042,-0.3084286243030543,0.9980256675751759,0.8173352538615958,-0.41927929673177167,0.898171837944275,-0.24158065709762708,0.9838153124104551,-0.3663047824423303
2010-01-08,0.9613733670682895,0.7918644258331586,0.9809794989131468,-0.03912558270353452,0.8713385878970331,0.8946958997104735,0.9857210526217766,-0.17945937159772468,0.9618470889472348,0.8107014809753255,-0.29257714971874593,0.8778486288781271,-0.08268473494996464,0.9273055636130364,-0.4130972470009306
2010-01-11,0.9539647325520807,0.7940437258209947,0.9806597545231689,0.10795594772990294,0.8369181867161877,0.8926930017035798,0.9818929085715763,-0.07421138097619379,0.9514041978203525,0.8128946051551595,-0.07622321707507138,0.855482767714148,0.05336398167501328,0.90075395423593,-0.3240153407011808
2010-01-12,0.9120590778766816,0.8039184899704755,0.8706041950662234,0.05085299943114965,0.6798639489848075,0.8632357339767136,0.966163424820148,-0.06327830437148613,0.9100679694701992,0.7290723239531149,-0.11584207457794551,0.7184970674151417,0.09709572056252226,0.9019149135637382,-0.22880736936171733
2010-01-13,0.9002961121334911,0.8042688191236768,0.8790465822099524,0.012094227965689174,0.5977218932726363,0.8640176674979239,0.934545535902958,-0.07502323629968607,0.8748989251811676,0.7249894118033672,-0.1326015236757001,0.675356691349545,0.04232185712008893,0.7703365924525568,-0.1976013029581706
2010-01-14,0.9012647055371732,0.7932954702111384,0.8736150047509731,0.040385024614718865,0.5998886940508362,0.8561799252600288,0.9311987169344386,-0.03415394589340103,0.8737559180010492,0.7435493585888573,-0.03628353111387082,0.6610704366651542,0.1062027218602594,0.761502477046073,-0.17181829433160364
2010-01-15,0.8972162163131993,0.7910856002172465,0.8732496385152176,0.035555247626685896,0.5926610713007452,0.8430382533592474,0.9239204995074398,-0.06800635488461751,0.8453598666805849,0.7431798524880036,-0.009765831181557782,0.6623444775189525,0.10709768253899757,0.7564870198675769,-0.10682892668819506
2010-01-18,0.8965964550469218,0.7871151273539277,0.8684871822222977,0.03458465609158726,0.5715258823799579,0.8315936419518756,0.9222064500798617,-0.0682974086371638,0.7906736433258023,0.7218572886530232,-0.012267248369743557,0.6740522002670193,0.10753690419410308,0.6854926760824857,-0.1041791356597275
2010-01-19,0.8827731068327884,0.6409147630404036,0.8414601967679486,-0.18272099482464502,0.5844278958387505,0.7641831152672934,0.9203285175609343,-0.0937535733253189,0.7900202889069866,0.6826331188799797,0.253695022007437,0.5830959387853498,0.061282700153239576,0.6782079591048028,-0.1809845388153458
2010-01-20,0.8661020449329297,0.6406183666184918,0.8058352840077612,-0.1719664806000585,0.580293073725841,0.743313669932084,0.809010239936346,-0.15024057318746362,0.7463779784981657,0.6625193580342067,0.25012808197333364,0.5824534648200959,0.15107316176541324,0.6794721293976655,-0.1294738120797697
