date,TCI,lag_selected,FROM_Indonesia,TO_Indonesia,Net_Indonesia,FROM_Malaysia,TO_Malaysia,Net_Malaysia,FROM_Philippines,TO_Philippines,Net_Philippines,FROM_Singapore,TO_Singapore,Net_Singapore,FROM_Thailand,TO_Thailand,Net_Thailand,FROM_Vietnam,TO_Vietnam,Net_Vietnam
2011-03-30,13.600407066134869,1,17.863277303477616,19.127755385305264,1.2644780818276473,9.124080772965726,8.953982651046829,-0.1700981219188975,3.4502188106040848,15.553706919501323,12.103488108897238,18.793834836516666,20.29311027517946,1.4992754386627922,16.482205802250476,14.854786959083228,-1.6274188431672485,15.88882487099464,2.819100206693122,-13.069724664301518
2011-03-31,13.584187140890235,1,17.91395586950948,19.186348121067397,1.2723922515579176,9.205685459530997,9.004371510240503,-0.20131394929049407,3.4369406305800965,15.406025469593331,11.969084839013235,18.858550355115568,20.407958843386922,1.5494084882713537,16.290987321853493,14.60315047076891,-1.6878368510845831,15.79900320875177,2.897268430284356,-12.901734778467414
2011-04-01,13.625713445029573,1,17.961382634124888,19.132419627671027,1.1710369935461387,9.266983671836698,9.060722969669541,-0.20626070216715675,3.5601785748140173,15.508063217036167,11.94788464222215,18.88210163733649,20.419001764241386,1.5369001269048965,16.255988272839005,14.751157163610316,-1.5048311092286895,15.827645879226338,2.882915927949,-12.944729951277338
2011-04-04,13.395540469185013,1,18.002560423577464,19.220109163030003,1.217548739452539,8.852437286023374,8.651220530773728,-0.20121675524964644,3.342856921648064,15.032414605035683,11.68955768338762,18.738157008808713,20.3120389559664,1.5738819471576875,15.90033615515317,14.229430463027754,-1.670905692125416,15.53689501989929,2.9280290972765783,-12.608865922622712
2011-04-05,13.62396935257239,1,18.11995428456399,19.361244882079973,1.2412905975159845,9.04183507341024,8.63106904506563,-0.41076602834461085,3.2088759676500445,15.389861617800165,12.18098565015012,19.11126502668509,20.721779000828477,1.6105139741433874,16.10210415108665,14.482567862284128,-1.6195362888025215,16.15978161203833,3.157293707376013,-13.002487904662317
2011-04-07,13.752193805031707,1,18.27555121317529,19.597041148598322,1.3214899354230312,9.153418468959146,8.773521152010176,-0.3798973169489699,3.273830303367987,15.555648348963288,12.281818045595301,19.2222546546124,20.807375989428024,1.585121334815625,16.2737688241115,14.661149835543185,-1.6126189885683146,16.314339365963917,3.1184263556472587,-13.195913010316659
2011-04-08,13.818465856401893,1,18.288096844726,19.704715008766513,1.4166181640405142,9.165456165141606,8.793488090699057,-0.37196807444254887,3.2511525520598923,15.480747733847267,12.229595181787374,19.341323731813873,20.923315622021093,1.5819918902072203,16.595372957954808,14.94770325633256,-1.6476697016222488,16.26939288671518,3.06082542674487,-13.208567459970311
2011-04-18,13.856713982876729,1,18.15339518742003,19.50842998777908,1.35503480035905,9.196543658292228,8.868024269548144,-0.32851938874408404,3.2673791125852603,15.489656380645755,12.222277268060495,19.440673868291597,21.098553060280835,1.6578791919892382,16.708953811019327,15.068776594861902,-1.6401772161574257,16.37333825965193,3.106843604144629,-13.266494655507302
2011-04-19,13.603128927253008,1,17.341194965585757,18.606056903263635,1.2648619376778782,9.270565159813529,9.000375001877458,-0.2701901579360708,3.0695150470594257,15.311254976505296,12.24173992944587,18.849978278734014,20.478356433430037,1.6283781546960228,16.51982254343072,14.948564813111062,-1.5712577303196582,16.5676975688946,3.2741654353305876,-13.293532133564014
2011-04-20,13.312465955152277,1,16.954659180681844,17.888828072249325,0.9341688915674808,8.966039904857482,8.670338010593923,-0.29570189426355853,2.982637465209848,15.622996054144934,12.640358588935086,18.67321787307992,19.898252473131663,1.2250346000517425,15.454500640818821,14.217251066273889,-1.2372495745449328,16.843740666265745,3.5771300545198983,-13.266610611745847
2011-04-25,13.547473563260846,1,17.18865370146041,18.12099846598045,0.9323447645200389,8.859233411140622,8.650469356968955,-0.20876405417166666,2.9470292768478004,15.67312475583607,12.72609547898827,19.43828535240749,20.61361884683069,1.1753334944231995,15.844594210210161,14.463316382611296,-1.3812778275988649,17.007045427498596,3.7633135713375765,-13.24373185616102
2011-04-26,13.615519182548482,1,17.480762052509036,18.386066336855052,0.9053042843460162,8.9288991196008,8.70181010615606,-0.22708901344473986,2.743461112829465,15.423262719175924,12.679801606346459,19.655507235122357,20.740302224093625,1.084794988971268,15.94742662847429,14.651842176107522,-1.295584452366768,16.937058946754945,3.789831532902724,-13.147227413852221
2011-04-27,13.7267187197225,1,17.38878380697325,18.388387783086984,0.9996039761137325,9.047589255096298,8.836169873137635,-0.21141938195866317,3.1618326714969953,16.198308063204948,13.036475391707953,19.367774089151084,20.500247967797478,1.132473878646394,16.21295905577739,14.75021390677469,-1.4627451490027,17.181373439839987,3.6869847243333,-13.494388715506688
2011-04-28,13.685418186126457,1,17.518142672059554,18.69341324698,1.1752705749204466,8.903234786145958,8.701180242766782,-0.20205454337917672,3.0662487066354203,16.128352712505063,13.062104005869642,19.318187272630738,20.6506459948005,1.3324587221697612,16.013428560376113,14.46685986011137,-1.5465687002647428,17.29326711891096,3.472057059594988,-13.821210059315973
2011-04-29,13.833915419897453,1,17.707197723828912,19.12700730182648,1.4198095779975688,9.161515267147237,8.96655787578301,-0.19495739136422685,3.0340079649897547,16.050156219366443,13.016148254376688,19.342033945606886,20.65072471153654,1.3086907659296543,16.49579182470268,14.767307678757277,-1.7284841459454015,17.262945793109253,3.441738732114999,-13.821207060994254
2011-05-04,13.558948261172057,1,16.93800821122349,18.314189655980172,1.376181444756682,8.978212887762524,8.881776643154694,-0.09643624460782974,3.081614835734598,16.098417341342326,13.016802505607728,18.920753916236535,20.096552066435493,1.1757981501989576,16.288671413960657,14.566677060212484,-1.7219943537481726,17.146428302114543,3.3960767999071777,-13.750351502207366
2011-05-06,13.420942461139928,1,16.92036033668984,18.233408432757273,1.3130480960674333,8.835649533293406,8.820950101870423,-0.014699431422982911,3.128022302813733,16.161961048773122,13.03393874595939,18.538370159055276,19.7455295823447,1.2071594232894256,15.924318519133166,14.2942183067875,-1.630100212345667,17.178933915854145,3.2695872943065467,-13.909346621547598
2011-05-09,13.547134754923349,1,16.763346791166555,18.005801285640544,1.2424544944739893,8.89813790528467,8.746031698892864,-0.1521062063918066,3.1786626103729105,16.213929076270006,13.035266465897095,18.80255810187336,20.0622401753928,1.2596820735194427,16.480700555644574,15.036733702404959,-1.4439668532396155,17.15940256519802,3.218072590938874,-13.941329974259148
2011-05-10,13.553351267111482,1,16.71517485972707,17.87329092137756,1.1581160616504889,8.95474449821883,8.763725383360807,-0.19101911485802248,3.1675149423833204,16.419557519593127,13.252042577209806,18.812751820134423,20.03041841910725,1.2176665989728264,16.44661136378312,15.002524549952895,-1.444086813830225,17.223310118422134,3.230590809277274,-13.99271930914486
2011-05-11,13.590098240965355,1,16.793511096388627,17.83147683324897,1.0379657368603432,9.010653276826417,8.812272894098328,-0.19838038272808944,3.115929688129256,16.405417704132958,13.289488016003702,18.794269966854728,20.00820860456956,1.2139386377148327,16.629092641842007,15.272430030011506,-1.356662611830501,17.1971327757511,3.2107833797308416,-13.986349396020259
2011-05-12,13.528187920628332,1,16.743020033410104,17.801668827212723,1.0586487938026181,8.993931960370304,8.760571351487329,-0.23336060888297538,3.0809930433975268,16.396046168719664,13.315053125322137,18.731250759022586,19.87539478105205,1.1441440220294652,16.488102903930667,15.189636612203515,-1.298466291727152,17.1318288236388,3.145809783094691,-13.986019040544107
2011-05-13,13.403404022895778,1,16.72679895645095,17.807614644246556,1.0808156877956066,8.906067585874453,8.686483081561946,-0.21958450431250753,3.0846367693388146,16.401421510451485,13.31678474111267,18.529492977244942,19.594005046647283,1.0645120694023404,16.012440996825916,14.77901534678982,-1.2334256500360965,17.160986851639592,3.151884507677579,-14.009102343962013
2011-05-18,13.034823998479498,1,16.18824044331261,17.282275628129426,1.0940351848168177,8.603526847744945,8.366246336470198,-0.23728051127474714,2.9315757101209527,16.21998931287898,13.288413602758027,17.921931736153,18.920001634908758,0.9980698987557588,15.549596312312275,14.397565613881383,-1.1520306984308917,17.01407294123321,3.022865464608202,-13.991207476625007
2011-05-19,13.058092290399621,1,16.207297442628075,17.415248386763636,1.2079509441355611,8.663830562828323,8.38090268584655,-0.28292787698177335,3.090287316472512,16.301784732138387,13.211497415665875,17.855993031127554,18.826131638947345,0.9701386078197913,15.63428210921532,14.45717946985522,-1.1771026393601005,16.89686328012594,2.967306828846546,-13.929556451279396
2011-05-20,12.9146948786614,1,16.24178077067144,17.64155714080573,1.3997763701342905,8.79006349911296,8.369500006330583,-0.42056349278237803,3.2109715666462932,15.944818703271494,12.7338471366252,17.354501313688544,18.389144046176284,1.0346427324877396,15.822985085361324,14.837711176022907,-0.9852739093384173,16.06786703648784,2.3054381993614186,-13.762428837126421
