Year,Month,GEPU_current,GEPU_ppp,Australia,Brazil,Canada,Chile,China,France,Germany,Greece,India,Ireland,Italy,Japan,Korea,Mexico,Pakistan,Russia,Spain,Singapore,UK,US,SCMP China,Mainland China
1986,12,,,,,78.66561295,,,,,,,65.22647979,,,,,,,,,,87.97967602,,
1987,1,,,,,74.68277747,,,69.95834445,,,,49.38110117,,72.10673557,,,,,,,,110.4333286,,
1987,2,,,,,67.59733504,,,60.32131731,,,,72.30569888,,87.25571215,,,,,,,,76.96607408,,
1987,3,,,,,36.30467374,,,97.61026398,,,,54.20767748,,91.89595435,,,,,,,,99.05957577,,
1987,4,,,,,70.42709068,,,77.49409678,,,,71.40226841,,91.72626335,,,,,,,,79.53235922,,
1987,5,,,,,81.23486107,,,58.17476749,,,,62.4922745,,79.59658893,,,,,,,,87.58505029,,
1987,6,,,,,72.81967675,,,87.84770303,,,,69.80280931,,89.59874745,,,,,,,,106.5728492,,
1987,7,,,,,61.87545404,,,41.39510505,,,,27.13857834,,58.07151242,,,,,,,,81.38941366,,
1987,8,,,,,28.53685388,,,46.29237769,,,,28.5434333,,50.06659375,,,,,,,,52.79015023,,
1987,9,,,,,59.65667369,,,43.17304348,,,,19.04521594,,64.89062904,,,,,,,,59.86959485,,
1987,10,,,,,125.1819237,,,121.7726379,,,,38.43615852,,98.61417389,,,,,,,,170.3220901,,
1987,11,,,,,137.5159119,,,152.810027,,,,35.35654384,,104.0077699,,,,,,,,183.1025343,,
1987,12,,,,,117.4072304,,,94.86508633,,,,35.96860502,,99.09985941,,,,,,,,149.0111468,,
1988,1,,,,,88.00508061,,,102.4827985,,,,69.34558567,,64.16561039,,,,,,,,142.8728467,,
1988,2,,,,,74.21217587,,,80.34039845,,,,28.44373834,,52.16891362,,,,,,,,102.0328943,,
1988,3,,,,,57.29201837,,,92.95789771,,,,36.39103779,,52.85461121,,,,,,,,82.35363467,,
1988,4,,,,,61.04705213,,,80.04028793,,,,43.78571101,,51.75037205,,,,,,,,97.85680131,,
1988,5,,,,,48.37898691,,,88.56709188,,,,33.88666656,,58.48437836,,,,,,,,99.12744374,,
1988,6,,,,,43.19214722,,,80.08071232,,,,12.05094981,,62.27909843,,,,,,,,88.28594531,,
1988,7,,,,,56.56837753,,,54.98030183,,,,51.69877087,,67.76048298,,,,,,,,80.83589433,,
1988,8,,,,,82.51412621,,,84.8853956,,,,12.13729941,,70.76541062,,,,,,,,94.88969064,,
1988,9,,,,,62.38471125,,,89.29540983,,,,11.54499391,,54.89329604,,,,,,,,85.35680233,,
1988,10,,,,,61.03736059,,,63.32861821,,,,50.19800575,,53.71204234,,,,,,,,98.25379827,,
1988,11,,,,,123.8536981,,,101.4379169,,,,50.38914522,,73.13962064,,,,,,,,102.2339961,,
1988,12,,,,,57.62167778,,,75.76390155,,,,46.821049,,60.85299733,,,,,,,,77.82810148,,
1989,1,,,,,47.27500716,,,58.82336,,,,62.12555536,,76.38830689,,,,,,,,87.42640643,,
1989,2,,,,,40.65641578,,,58.72575921,,,,39.25565483,,65.75940627,,,,,,,,51.35064106,,
1989,3,,,,,69.56887523,,,58.73699787,,,,34.18759767,,81.44337826,,,,,,,,72.52324803,,
1989,4,,,,,59.65726678,,,50.24378558,,,,68.7824109,,94.44272546,,,,,,,,92.37982688,,
1989,5,,,,,88.94496955,,,54.23666693,,,,48.83692194,,86.48157726,,,,,,,,83.75286515,,
1989,6,,,,,64.56142732,,,100.2526503,,,,66.65325968,,85.29341624,,,,,,,,95.78629939,,
1989,7,,,,,69.98060979,,,87.73610513,,,,45.31518207,,90.42271901,,,,,,,,78.2565948,,
1989,8,,,,,61.02228348,,,70.94529381,,,,29.06853216,,85.16597092,,,,,,,,83.10930612,,
1989,9,,,,,59.10854501,,,79.52281477,,,,18.38511041,,83.2346963,,,,,,,,74.69547792,,
1989,10,,,,,76.84035966,,,91.54791458,,,,73.77532691,,67.26531167,,,,,,,,76.44955399,,
1989,11,,,,,75.00902325,,,108.7742167,,,,84.73644352,,66.34648972,,,,,,,,105.0474781,,
1989,12,,,,,57.92606432,,,67.24017927,,,,46.75356075,,74.27729833,,,,,,,,103.7966807,,
1990,1,,,,,90.46779716,,,75.8744553,,,,27.15249913,,87.5428562,129.6386566,,,,,,,92.32149379,,
1990,2,,,,,77.06073287,,,113.9344469,,,,47.87981644,,99.68787655,73.56221008,,,,,,,110.4462669,,
1990,3,,,,,92.68953569,,,134.3750887,,,,72.97618501,,102.1044877,102.0125732,,,,,,,104.4614083,,
1990,4,,,,,109.2704564,,,96.0686192,,,,83.24326412,,92.58997897,118.5013733,,,,,,,88.44817178,,
1990,5,,,,,130.707426,,,63.14082667,,,,63.37795607,,95.74323037,45.04403305,,,,,,,97.38793637,,
1990,6,,,,,164.1713357,,,101.2841765,,,,44.61757654,,78.41441284,41.99311829,,,,,,,100.8643396,,
1990,7,,,,,88.38756828,,,63.81174903,,,,64.53701445,,87.14466672,55.29328918,,,,,,,86.28017836,,
1990,8,,,,,116.5748332,,,55.49462268,,,,102.757818,,76.87768753,36.80561066,,,,,,,139.322684,,
1990,9,,,,,118.00336,,,157.4201505,,,,113.2576562,,105.5804523,38.59947586,,,,,,,165.9384419,,
1990,10,,,,,166.1151888,,,157.2135268,,,,138.1112618,,113.8779511,63.65452957,,,,,,,137.6742366,,
1990,11,,,,,148.1475563,,,123.071024,,,,96.86897608,,84.85538196,58.3523407,,,,,,,152.4486033,,
1990,12,,,,,123.4866902,,,119.0586151,,,,90.4609616,,97.25762331,48.80547714,,,,,,,134.0615437,,
1991,1,,,,111.8543786,182.0740837,,,102.5611988,,,,124.3063727,,85.6627394,78.89048004,,,,,,,204.0105506,,
1991,2,,,,146.8242173,129.9660619,,,120.2046148,,,,132.1967877,,85.42877688,65.68365479,,,,,,,106.5180637,,
1991,3,,,,124.6512011,145.0634003,,,129.1983032,,,,86.46664144,,81.87651845,65.23986816,,,,,,,107.9374781,,
