country,Indonesia,Malaysia,Philippines,Singapore,Thailand,Vietnam
Indonesia,1.0,0.37528532818237137,0.4541841272896157,0.3958376038841268,0.39641727298041846,0.2612915785778122
Malaysia,0.37528532818237137,1.0,0.39822742609789835,0.47237085383254485,0.4006084064976223,0.23202562774535485
Philippines,0.4541841272896157,0.39822742609789835,1.0,0.41331319582406945,0.34896610884896967,0.26616144112651385
Singapore,0.3958376038841268,0.47237085383254485,0.41331319582406945,1.0,0.4332856145597661,0.25492152856328515
Thailand,0.39641727298041846,0.4006084064976223,0.34896610884896967,0.4332856145597661,1.0,0.24216262725568413
Vietnam,0.2612915785778122,0.23202562774535485,0.26616144112651385,0.25492152856328515,0.24216262725568413,1.0
