Regime,N_Obs,Mean_TCI_pct,EW_Ann_Vol_pct,GMV_Ann_Vol_pct,Vol_Reduction_pct,EW_DR,GMV_DR,EW_VaR95_pct,GMV_VaR95_pct,EW_ES95_pct,GMV_ES95_pct,EW_Sharpe,GMV_Sharpe_Gross,GMV_Sharpe_Net,GMV_Ann_Turnover_pct
Full Sample,2844,19.41,11.6,10.58,8.75,1.481,1.366,-1.01,-0.93,-1.78,-1.62,0.535,0.293,0.272,224.42
Low TCI (<= Q25),711,9.27,9.66,9.06,6.18,1.592,1.459,-0.83,-0.82,-1.54,-1.37,0.803,0.944,0.915,258.65
Moderate TCI (Q25-Q75),1422,17.4,10.88,10.1,7.15,1.482,1.363,-1.06,-0.94,-1.71,-1.54,0.075,-0.419,-0.44,219.32
High TCI (>= Q75),711,33.55,14.43,12.71,11.9,1.368,1.276,-1.09,-1.05,-2.1,-1.99,1.069,0.969,0.954,200.37
Crisis Peak (>= Q90),285,45.69,17.27,15.81,8.46,1.266,1.228,-1.05,-1.13,-2.32,-2.38,1.725,1.471,1.459,192.26
