,coefficient,std_error,t_stat,p_value
const,7.637326269312791,1.6611594014657196,4.597587842909005,4.274104441288239e-06
VIX,0.6842713877314515,0.10479467818091924,6.529638714573981,6.592852741749047e-11
ΔOil,0.15364643249122856,0.10572456545863032,1.453270881982011,0.14614855856552483
ΔDGS2,0.026562125430264025,0.03523093400484476,0.7539432655010324,0.4508832896076582
ΔDollar,-1.345685776124514,0.658378190360228,-2.0439403914461827,0.040959436233837236
ΔSP500,0.7669293174192432,0.18584101827737198,4.126803245743002,3.67840850419283e-05
