,Indonesia,Malaysia,Philippines,Singapore,Thailand,Vietnam,FROM
Indonesia,77.94293304385674,3.2685753708757592,3.6713088001260274,5.21392242888475,8.13110844404513,1.7721519122115847,22.05706695614326
Malaysia,4.179939571478645,82.09035616888013,4.059190219871615,4.621909528243253,3.8531687094410683,1.1954358020852736,17.909643831119837
Philippines,4.339238238418798,4.237728489651926,83.58298900255762,2.9642591125043194,4.026746909108644,0.849038247758659,16.417010997442347
Singapore,6.891357461075991,4.953909832371174,3.1977686334410236,79.33876173006635,4.748719244577262,0.8694830984682039,20.661238269933662
Thailand,7.694644608523466,3.6174277208219427,2.8863410123153916,3.481168505319466,81.06465090926866,1.2557672437510567,18.93534909073132
Vietnam,1.6878800630994002,1.3254992645340022,1.0846419937863656,1.4048164103153413,1.3890514175323316,93.10811085073256,6.891889149267442
TO,24.793059942596287,17.4031406782548,14.899250659540428,17.686075985267124,22.14879472470443,5.941876304274771,102.87219829463787
Net,2.7359929864530272,-0.5065031528650366,-1.5177603379019189,-2.9751622846665384,3.213445633973109,-0.9500128449926706,
