date,country,year_week,close,open,high,low,adjusted_close,volume,index_name,ticker,currency,source,return_lcu,dlog_fx,return_usd
2010-01-08,Indonesia,2010-W01,2614.3701171875,2533.947998046875,2622.115966796875,2532.89599609375,2614.268310546875,246186500,Jakarta Composite Index,^JKSE,IDR,yfinance,,-0.6470042267800918,
2010-01-15,Indonesia,2010-W02,2647.090087890625,2615.60791015625,2661.927978515625,2615.60791015625,2646.987060546875,253844100,Jakarta Composite Index,^JKSE,IDR,yfinance,1.2437761091375157,0.764884475139768,0.4788916339977477
2010-01-22,Indonesia,2010-W03,2610.340087890625,2645.44189453125,2689.77490234375,2580.16796875,2610.238525390625,169756600,Jakarta Composite Index,^JKSE,IDR,yfinance,-1.3980441905404464,0.6187937022207695,-2.016837892761216
2010-01-29,Indonesia,2010-W04,2610.7958984375,2609.73095703125,2619.97802734375,2554.882080078125,2610.6943359375,157086000,Jakarta Composite Index,^JKSE,IDR,yfinance,0.017460205948536464,-0.8070073006027613,0.8244675065512977
2010-02-05,Indonesia,2010-W05,2518.97607421875,2610.593017578125,2613.673095703125,2506.888916015625,2518.878173828125,174094000,Jakarta Composite Index,^JKSE,IDR,yfinance,-3.5802617580709413,0.8613070350526202,-4.441568793123562
2010-02-12,Indonesia,2010-W06,2534.136962890625,2518.60693359375,2536.56591796875,2431.837890625,2534.038330078125,172282600,Jakarta Composite Index,^JKSE,IDR,yfinance,0.6000631314892668,-0.068612447657388,0.6686755791466548
2010-02-25,Indonesia,2010-W08,2549.032958984375,2554.779052734375,2583.695068359375,2536.092041015625,2548.933837890625,115418400,Jakarta Composite Index,^JKSE,IDR,yfinance,0.5860924959426664,-0.18300590391846108,0.7690983998611275
2010-03-05,Indonesia,2010-W09,2578.77197265625,2548.8310546875,2585.83203125,2545.89306640625,2578.671630859375,128986800,Jakarta Composite Index,^JKSE,IDR,yfinance,1.1599250555733438,-4.7245621337401875,5.884487189313531
2010-03-12,Indonesia,2010-W10,2666.510986328125,2578.97412109375,2687.117919921875,2578.97412109375,2666.4072265625,183974700,Jakarta Composite Index,^JKSE,IDR,yfinance,3.3457565151905553,-0.08963137896659613,3.4353878941571514
2010-03-19,Indonesia,2010-W11,2742.97412109375,2666.409912109375,2779.35595703125,2658.554931640625,2742.8671875,194313100,Jakarta Composite Index,^JKSE,IDR,yfinance,2.827190620385157,-0.10860158885194775,2.9357922092371047
