date,country,index_name,ticker,open,high,low,close,adjusted_close,volume,currency,source,return_lcu,dlog_fx,return_usd
2010-01-04,Indonesia,Jakarta Composite Index,^JKSE,2533.947998046875,2576.055908203125,2532.89599609375,2575.4130859375,2575.31298828125,18339300,IDR,yfinance,,-0.22826295295985038,
2010-01-05,Indonesia,Jakarta Composite Index,^JKSE,2575.616943359375,2606.069091796875,2575.616943359375,2605.277099609375,2605.175537109375,57043800,IDR,yfinance,1.1529098786288487,-0.6320523978427101,1.7849622764715587
2010-01-06,Indonesia,Jakarta Composite Index,^JKSE,2605.48095703125,2622.115966796875,2587.7099609375,2603.297119140625,2603.195556640625,51569100,IDR,yfinance,-0.0760277373794528,-0.9404504469551979,0.8644227095757451
2010-01-07,Indonesia,Jakarta Composite Index,^JKSE,2603.5009765625,2611.60302734375,2570.27294921875,2586.89501953125,2586.794189453125,45510800,IDR,yfinance,-0.632044200818661,0.5884130177801348,-1.2204572185987956
2010-01-08,Indonesia,Jakarta Composite Index,^JKSE,2586.79296875,2614.535888671875,2583.846923828125,2614.3701171875,2614.268310546875,73723500,IDR,yfinance,1.0564873156763115,-0.6470042267800918,1.7034915424564034
2010-01-11,Indonesia,Jakarta Composite Index,^JKSE,2615.60791015625,2649.197021484375,2615.60791015625,2632.2041015625,2632.1015625,52891200,IDR,yfinance,0.6798361108998751,-0.703682336202941,1.3835184471028161
2010-01-12,Indonesia,Jakarta Composite Index,^JKSE,2632.305908203125,2659.97607421875,2623.77392578125,2659.551025390625,2659.447265625,57497400,IDR,yfinance,1.0335764457389098,0.25001668250286746,0.7835597632360424
2010-01-13,Indonesia,Jakarta Composite Index,^JKSE,2657.903076171875,2657.903076171875,2623.4609375,2632.8720703125,2632.76953125,42685500,IDR,yfinance,-1.0082028810732453,-0.32765429051254114,-0.6805485905607042
2010-01-14,Indonesia,Jakarta Composite Index,^JKSE,2633.58203125,2661.927978515625,2633.58203125,2645.180908203125,2645.077880859375,53126200,IDR,yfinance,0.466416697788266,0.16177482481317965,0.3046418729750864
2010-01-15,Indonesia,Jakarta Composite Index,^JKSE,2646.7529296875,2655.805908203125,2638.35595703125,2647.090087890625,2646.987060546875,47643800,IDR,yfinance,0.07214973578371957,0.764884475139768,-0.6927347393560485
2010-01-18,Indonesia,Jakarta Composite Index,^JKSE,2645.44189453125,2648.924072265625,2629.907958984375,2642.548095703125,2642.445068359375,30861500,IDR,yfinance,-0.1717317194907404,-1.047068706433405,0.8753369869426646
2010-01-19,Indonesia,Jakarta Composite Index,^JKSE,2642.35400390625,2666.572998046875,2640.177978515625,2666.071044921875,2665.96728515625,32768000,IDR,yfinance,0.8862230478931779,1.0887957935849852,-0.2025727456918074
2010-01-20,Indonesia,Jakarta Composite Index,^JKSE,2666.577880859375,2689.77490234375,2655.0,2667.26611328125,2667.162353515625,36995600,IDR,yfinance,0.044815032086931376,0.7017610392817889,-0.6569460071948575
2010-01-21,Indonesia,Jakarta Composite Index,^JKSE,2664.658935546875,2664.658935546875,2621.360107421875,2638.382080078125,2638.279541015625,32438400,IDR,yfinance,-1.0888139395556984,-1.2117314304159588,0.12291749086026038
2010-01-22,Indonesia,Jakarta Composite Index,^JKSE,2636.9619140625,2636.9619140625,2580.16796875,2610.340087890625,2610.238525390625,36693100,IDR,yfinance,-1.0685366114741157,0.6187937022207695,-1.6873303136948852
2010-01-25,Indonesia,Jakarta Composite Index,^JKSE,2609.73095703125,2609.73095703125,2575.962890625,2597.860107421875,2597.759033203125,33669400,IDR,yfinance,-0.4792444179145679,0.8615399179038583,-1.3407843358184262
2010-01-26,Indonesia,Jakarta Composite Index,^JKSE,2597.35302734375,2608.739990234375,2568.948974609375,2578.4150390625,2578.314697265625,42143000,IDR,yfinance,-0.7513186327448866,0.6417168503228686,-1.3930354830677554
2010-01-27,Indonesia,Jakarta Composite Index,^JKSE,2577.907958984375,2594.24609375,2554.882080078125,2564.553955078125,2564.454345703125,26010100,IDR,yfinance,-0.539031736800378,0.21299375550512126,-0.7520254923054992
2010-01-28,Indonesia,Jakarta Composite Index,^JKSE,2565.3779296875,2619.97802734375,2565.3779296875,2619.56494140625,2619.463134765625,33551500,IDR,yfinance,2.1223684241064196,-0.8010766360549768,2.9234450601613964
