date,country,index_name,ticker,open,high,low,close,adjusted_close,volume,currency,source
2010-01-04,Indonesia,Jakarta Composite Index,^JKSE,2533.947998046875,2576.055908203125,2532.89599609375,2575.4130859375,2575.31298828125,18339300,IDR,yfinance
2010-01-05,Indonesia,Jakarta Composite Index,^JKSE,2575.616943359375,2606.069091796875,2575.616943359375,2605.277099609375,2605.175537109375,57043800,IDR,yfinance
2010-01-06,Indonesia,Jakarta Composite Index,^JKSE,2605.48095703125,2622.115966796875,2587.7099609375,2603.297119140625,2603.195556640625,51569100,IDR,yfinance
2010-01-07,Indonesia,Jakarta Composite Index,^JKSE,2603.5009765625,2611.60302734375,2570.27294921875,2586.89501953125,2586.794189453125,45510800,IDR,yfinance
2010-01-08,Indonesia,Jakarta Composite Index,^JKSE,2586.79296875,2614.535888671875,2583.846923828125,2614.3701171875,2614.268310546875,73723500,IDR,yfinance
2010-01-11,Indonesia,Jakarta Composite Index,^JKSE,2615.60791015625,2649.197021484375,2615.60791015625,2632.2041015625,2632.1015625,52891200,IDR,yfinance
2010-01-12,Indonesia,Jakarta Composite Index,^JKSE,2632.305908203125,2659.97607421875,2623.77392578125,2659.551025390625,2659.447265625,57497400,IDR,yfinance
2010-01-13,Indonesia,Jakarta Composite Index,^JKSE,2657.903076171875,2657.903076171875,2623.4609375,2632.8720703125,2632.76953125,42685500,IDR,yfinance
2010-01-14,Indonesia,Jakarta Composite Index,^JKSE,2633.58203125,2661.927978515625,2633.58203125,2645.180908203125,2645.077880859375,53126200,IDR,yfinance
2010-01-15,Indonesia,Jakarta Composite Index,^JKSE,2646.7529296875,2655.805908203125,2638.35595703125,2647.090087890625,2646.987060546875,47643800,IDR,yfinance
2010-01-18,Indonesia,Jakarta Composite Index,^JKSE,2645.44189453125,2648.924072265625,2629.907958984375,2642.548095703125,2642.445068359375,30861500,IDR,yfinance
2010-01-19,Indonesia,Jakarta Composite Index,^JKSE,2642.35400390625,2666.572998046875,2640.177978515625,2666.071044921875,2665.96728515625,32768000,IDR,yfinance
2010-01-20,Indonesia,Jakarta Composite Index,^JKSE,2666.577880859375,2689.77490234375,2655.0,2667.26611328125,2667.162353515625,36995600,IDR,yfinance
2010-01-21,Indonesia,Jakarta Composite Index,^JKSE,2664.658935546875,2664.658935546875,2621.360107421875,2638.382080078125,2638.279541015625,32438400,IDR,yfinance
2010-01-22,Indonesia,Jakarta Composite Index,^JKSE,2636.9619140625,2636.9619140625,2580.16796875,2610.340087890625,2610.238525390625,36693100,IDR,yfinance
2010-01-25,Indonesia,Jakarta Composite Index,^JKSE,2609.73095703125,2609.73095703125,2575.962890625,2597.860107421875,2597.759033203125,33669400,IDR,yfinance
2010-01-26,Indonesia,Jakarta Composite Index,^JKSE,2597.35302734375,2608.739990234375,2568.948974609375,2578.4150390625,2578.314697265625,42143000,IDR,yfinance
2010-01-27,Indonesia,Jakarta Composite Index,^JKSE,2577.907958984375,2594.24609375,2554.882080078125,2564.553955078125,2564.454345703125,26010100,IDR,yfinance
2010-01-28,Indonesia,Jakarta Composite Index,^JKSE,2565.3779296875,2619.97802734375,2565.3779296875,2619.56494140625,2619.463134765625,33551500,IDR,yfinance
2010-01-29,Indonesia,Jakarta Composite Index,^JKSE,2619.260986328125,2619.260986328125,2569.26611328125,2610.7958984375,2610.6943359375,21712000,IDR,yfinance
2010-02-01,Indonesia,Jakarta Composite Index,^JKSE,2610.593017578125,2610.593017578125,2571.759033203125,2587.549072265625,2587.4482421875,32319600,IDR,yfinance
2010-02-02,Indonesia,Jakarta Composite Index,^JKSE,2588.259033203125,2613.673095703125,2574.110107421875,2580.2509765625,2580.150634765625,30633100,IDR,yfinance
2010-02-03,Indonesia,Jakarta Composite Index,^JKSE,2580.656005859375,2606.282958984375,2580.656005859375,2604.549072265625,2604.447509765625,38272000,IDR,yfinance
2010-02-04,Indonesia,Jakarta Composite Index,^JKSE,2604.751953125,2610.367919921875,2589.054931640625,2593.219970703125,2593.119140625,38026400,IDR,yfinance
2010-02-05,Indonesia,Jakarta Composite Index,^JKSE,2592.408935546875,2592.408935546875,2506.888916015625,2518.97607421875,2518.878173828125,34842900,IDR,yfinance
2010-02-08,Indonesia,Jakarta Composite Index,^JKSE,2518.60693359375,2518.60693359375,2431.837890625,2475.572021484375,2475.4755859375,36850700,IDR,yfinance
2010-02-09,Indonesia,Jakarta Composite Index,^JKSE,2474.75,2490.10888671875,2439.909912109375,2489.485107421875,2489.388427734375,32704700,IDR,yfinance
2010-02-10,Indonesia,Jakarta Composite Index,^JKSE,2490.29296875,2511.735107421875,2474.40087890625,2483.43798828125,2483.34130859375,26501600,IDR,yfinance
2010-02-11,Indonesia,Jakarta Composite Index,^JKSE,2483.638916015625,2508.262939453125,2468.85400390625,2507.7509765625,2507.653564453125,40917000,IDR,yfinance
2010-02-12,Indonesia,Jakarta Composite Index,^JKSE,2508.154052734375,2536.56591796875,2501.985107421875,2534.136962890625,2534.038330078125,35308600,IDR,yfinance
2010-02-15,Indonesia,Jakarta Composite Index,^JKSE,2533.73388671875,2533.73388671875,2510.958984375,2517.4560546875,2517.358154296875,16743700,IDR,yfinance
2010-02-16,Indonesia,Jakarta Composite Index,^JKSE,2517.657958984375,2558.655029296875,2516.337890625,2558.5048828125,2558.4052734375,22302000,IDR,yfinance
2010-02-17,Indonesia,Jakarta Composite Index,^JKSE,2558.60595703125,2581.60009765625,2558.60595703125,2581.340087890625,2581.23974609375,35680400,IDR,yfinance
2010-02-18,Indonesia,Jakarta Composite Index,^JKSE,2581.44091796875,2581.44091796875,2550.529052734375,2560.033935546875,2559.934326171875,26304700,IDR,yfinance
2010-02-19,Indonesia,Jakarta Composite Index,^JKSE,2559.93310546875,2559.93310546875,2527.7451171875,2554.3759765625,2554.2763671875,21925400,IDR,yfinance
2010-02-22,Indonesia,Jakarta Composite Index,^JKSE,2554.779052734375,2574.968994140625,2553.81396484375,2564.262939453125,2564.163330078125,19028500,IDR,yfinance
2010-02-23,Indonesia,Jakarta Composite Index,^JKSE,2564.162109375,2583.695068359375,2538.034912109375,2583.65087890625,2583.550048828125,32655900,IDR,yfinance
2010-02-24,Indonesia,Jakarta Composite Index,^JKSE,2582.423095703125,2582.423095703125,2555.469970703125,2579.416015625,2579.315673828125,40083200,IDR,yfinance
2010-02-25,Indonesia,Jakarta Composite Index,^JKSE,2579.31494140625,2583.158935546875,2536.092041015625,2549.032958984375,2548.933837890625,23650800,IDR,yfinance
2010-03-01,Indonesia,Jakarta Composite Index,^JKSE,2548.8310546875,2565.43701171875,2545.89306640625,2554.674072265625,2554.574462890625,18985100,IDR,yfinance
2010-03-02,Indonesia,Jakarta Composite Index,^JKSE,2554.472900390625,2577.090087890625,2554.472900390625,2576.591064453125,2576.49072265625,25350600,IDR,yfinance
2010-03-03,Indonesia,Jakarta Composite Index,^JKSE,2577.0009765625,2585.83203125,2552.85400390625,2567.089111328125,2566.9892578125,34245400,IDR,yfinance
2010-03-04,Indonesia,Jakarta Composite Index,^JKSE,2566.988037109375,2579.532958984375,2557.3701171875,2565.64501953125,2565.545166015625,24987400,IDR,yfinance
2010-03-05,Indonesia,Jakarta Composite Index,^JKSE,2566.053955078125,2583.087890625,2566.053955078125,2578.77197265625,2578.671630859375,25418300,IDR,yfinance
2010-03-08,Indonesia,Jakarta Composite Index,^JKSE,2578.97412109375,2627.695068359375,2578.97412109375,2626.450927734375,2626.3486328125,29813600,IDR,yfinance
2010-03-09,Indonesia,Jakarta Composite Index,^JKSE,2626.25,2657.382080078125,2624.114990234375,2657.1669921875,2657.0634765625,30408700,IDR,yfinance
2010-03-10,Indonesia,Jakarta Composite Index,^JKSE,2656.862060546875,2676.27392578125,2652.84912109375,2670.218994140625,2670.114990234375,30181300,IDR,yfinance
2010-03-11,Indonesia,Jakarta Composite Index,^JKSE,2670.118896484375,2687.117919921875,2661.928955078125,2676.52197265625,2676.41796875,40847100,IDR,yfinance
2010-03-12,Indonesia,Jakarta Composite Index,^JKSE,2676.113037109375,2686.237060546875,2661.056884765625,2666.510986328125,2666.4072265625,52724000,IDR,yfinance
2010-03-15,Indonesia,Jakarta Composite Index,^JKSE,2666.409912109375,2683.10791015625,2658.554931640625,2669.60791015625,2669.504150390625,29518100,IDR,yfinance
2010-03-17,Indonesia,Jakarta Composite Index,^JKSE,2669.406982421875,2756.261962890625,2669.406982421875,2756.261962890625,2756.15478515625,65719300,IDR,yfinance
2010-03-18,Indonesia,Jakarta Composite Index,^JKSE,2756.462890625,2779.35595703125,2718.305908203125,2737.241943359375,2737.13525390625,60311400,IDR,yfinance
2010-03-19,Indonesia,Jakarta Composite Index,^JKSE,2738.802978515625,2758.1259765625,2725.64892578125,2742.97412109375,2742.8671875,38764300,IDR,yfinance
2010-03-22,Indonesia,Jakarta Composite Index,^JKSE,2742.672119140625,2742.672119140625,2698.262939453125,2702.40087890625,2702.295654296875,34251000,IDR,yfinance
2010-03-23,Indonesia,Jakarta Composite Index,^JKSE,2702.60205078125,2746.135009765625,2702.60205078125,2720.862060546875,2720.756103515625,27466700,IDR,yfinance
2010-03-24,Indonesia,Jakarta Composite Index,^JKSE,2721.1640625,2774.85009765625,2721.1640625,2774.85009765625,2774.741943359375,33240000,IDR,yfinance
2010-03-25,Indonesia,Jakarta Composite Index,^JKSE,2773.297119140625,2814.861083984375,2760.200927734375,2799.14892578125,2799.0400390625,42022300,IDR,yfinance
2010-03-26,Indonesia,Jakarta Composite Index,^JKSE,2799.25,2813.08203125,2792.361083984375,2813.08203125,2812.97265625,40138200,IDR,yfinance
2010-03-29,Indonesia,Jakarta Composite Index,^JKSE,2813.490966796875,2813.7958984375,2780.429931640625,2794.77099609375,2794.662109375,46152900,IDR,yfinance
2010-03-30,Indonesia,Jakarta Composite Index,^JKSE,2795.179931640625,2818.94091796875,2787.5048828125,2798.26806640625,2798.1591796875,41374000,IDR,yfinance
2010-03-31,Indonesia,Jakarta Composite Index,^JKSE,2798.677001953125,2809.472900390625,2758.261962890625,2777.301025390625,2777.19287109375,41736300,IDR,yfinance
2010-04-01,Indonesia,Jakarta Composite Index,^JKSE,2777.7041015625,2834.240966796875,2777.7041015625,2829.99609375,2829.885986328125,42051100,IDR,yfinance
2010-04-05,Indonesia,Jakarta Composite Index,^JKSE,2831.031005859375,2890.176025390625,2831.031005859375,2887.24609375,2887.1337890625,44192300,IDR,yfinance
2010-04-06,Indonesia,Jakarta Composite Index,^JKSE,2888.805908203125,2911.462890625,2871.7470703125,2880.968994140625,2880.85693359375,84458100,IDR,yfinance
2010-04-07,Indonesia,Jakarta Composite Index,^JKSE,2881.37109375,2916.10888671875,2881.37109375,2898.58203125,2898.46923828125,65778000,IDR,yfinance
2010-04-08,Indonesia,Jakarta Composite Index,^JKSE,2898.179931640625,2898.179931640625,2837.39990234375,2850.833984375,2850.722900390625,51323800,IDR,yfinance
2010-04-09,Indonesia,Jakarta Composite Index,^JKSE,2850.633056640625,2870.968994140625,2833.243896484375,2845.010986328125,2844.900390625,42393300,IDR,yfinance
2010-04-12,Indonesia,Jakarta Composite Index,^JKSE,2845.614013671875,2882.714111328125,2845.614013671875,2881.3330078125,2881.220947265625,50485000,IDR,yfinance
2010-04-13,Indonesia,Jakarta Composite Index,^JKSE,2881.028076171875,2884.946044921875,2856.2490234375,2884.699951171875,2884.587646484375,49876500,IDR,yfinance
2010-04-14,Indonesia,Jakarta Composite Index,^JKSE,2884.90087890625,2897.3291015625,2875.2529296875,2885.014892578125,2884.902587890625,50442600,IDR,yfinance
2010-04-15,Indonesia,Jakarta Composite Index,^JKSE,2885.115966796875,2913.718017578125,2885.115966796875,2900.530029296875,2900.417236328125,57186200,IDR,yfinance
2010-04-16,Indonesia,Jakarta Composite Index,^JKSE,2900.833984375,2903.278076171875,2860.927001953125,2878.6708984375,2878.558837890625,36312000,IDR,yfinance
2010-04-19,Indonesia,Jakarta Composite Index,^JKSE,2877.968017578125,2877.968017578125,2811.7880859375,2840.425048828125,2840.314697265625,37623100,IDR,yfinance
2010-04-20,Indonesia,Jakarta Composite Index,^JKSE,2840.6259765625,2892.6201171875,2840.6259765625,2891.27001953125,2891.157470703125,40735900,IDR,yfinance
2010-04-21,Indonesia,Jakarta Composite Index,^JKSE,2891.470947265625,2916.552001953125,2891.470947265625,2912.825927734375,2912.712646484375,65446100,IDR,yfinance
2010-04-22,Indonesia,Jakarta Composite Index,^JKSE,2912.72607421875,2927.39404296875,2883.013916015625,2926.531982421875,2926.41796875,50073500,IDR,yfinance
2010-04-23,Indonesia,Jakarta Composite Index,^JKSE,2926.1298828125,2926.388916015625,2907.030029296875,2924.73095703125,2924.616943359375,38537700,IDR,yfinance
2010-04-26,Indonesia,Jakarta Composite Index,^JKSE,2924.931884765625,2954.8291015625,2924.931884765625,2944.708984375,2944.594482421875,40750000,IDR,yfinance
