country,year_week,date,close,open,high,low,adjusted_close,volume,index_name,ticker,currency,source
Indonesia,2010-W01,2010-01-08,2614.3701171875,2533.947998046875,2622.115966796875,2532.89599609375,2614.268310546875,246186500,Jakarta Composite Index,^JKSE,IDR,yfinance
Malaysia,2010-W01,2010-01-08,1292.97998046875,1272.31005859375,1299.699951171875,1272.25,1292.97998046875,500506700,FTSE Bursa Malaysia KLCI,^KLSE,MYR,yfinance
Philippines,2010-W01,2010-01-08,3077.179931640625,3051.300048828125,3077.780029296875,3005.010009765625,3076.388916015625,0,PSE Composite Index,PSEi.PS,PHP,yfinance
Singapore,2010-W01,2010-01-08,2922.760009765625,2897.6201171875,2945.06005859375,2886.429931640625,2922.760009765625,0,Straits Times Index,^STI,SGD,yfinance
Thailand,2010-W01,2010-01-08,738.9600219726562,736.6599731445312,740.9099731445312,725.6500244140625,738.9600219726562,15481100,SET Index,^SET.BK,THB,yfinance
Vietnam,2010-W01,2010-01-08,520.9,501.7,544.5,501.7,520.9,315357540,VN-Index,VNINDEX,VND,vnstock
Indonesia,2010-W02,2010-01-15,2647.090087890625,2615.60791015625,2661.927978515625,2615.60791015625,2646.987060546875,253844100,Jakarta Composite Index,^JKSE,IDR,yfinance
Malaysia,2010-W02,2010-01-15,1298.5799560546875,1292.6800537109375,1300.8900146484375,1286.43994140625,1298.5799560546875,483601700,FTSE Bursa Malaysia KLCI,^KLSE,MYR,yfinance
Philippines,2010-W02,2010-01-15,3118.469970703125,3078.35009765625,3133.530029296875,3071.429931640625,3117.668212890625,0,PSE Composite Index,PSEi.PS,PHP,yfinance
Singapore,2010-W02,2010-01-15,2908.419921875,2922.760009765625,2947.080078125,2883.760009765625,2908.419921875,0,Straits Times Index,^STI,SGD,yfinance
Thailand,2010-W02,2010-01-15,746.52001953125,743.0800170898438,753.1699829101562,741.4000244140625,746.52001953125,15408900,SET Index,^SET.BK,THB,yfinance
Vietnam,2010-W02,2010-01-15,505.4,522.8,524.1,485.8,505.4,216832700,VN-Index,VNINDEX,VND,vnstock
Indonesia,2010-W03,2010-01-22,2610.340087890625,2645.44189453125,2689.77490234375,2580.16796875,2610.238525390625,169756600,Jakarta Composite Index,^JKSE,IDR,yfinance
Malaysia,2010-W03,2010-01-22,1300.449951171875,1286.25,1308.52001953125,1286.25,1300.449951171875,519137100,FTSE Bursa Malaysia KLCI,^KLSE,MYR,yfinance
Philippines,2010-W03,2010-01-22,3023.469970703125,3113.199951171875,3114.35009765625,3016.669921875,3022.692626953125,0,PSE Composite Index,PSEi.PS,PHP,yfinance
Singapore,2010-W03,2010-01-22,2819.7099609375,2908.419921875,2935.840087890625,2791.570068359375,2819.7099609375,0,Straits Times Index,^STI,SGD,yfinance
Thailand,2010-W03,2010-01-22,714.0999755859375,744.1900024414062,749.6500244140625,705.6900024414062,714.0999755859375,14485400,SET Index,^SET.BK,THB,yfinance
Vietnam,2010-W03,2010-01-22,477.6,499.2,499.2,471.9,477.6,168718100,VN-Index,VNINDEX,VND,vnstock
Indonesia,2010-W04,2010-01-29,2610.7958984375,2609.73095703125,2619.97802734375,2554.882080078125,2610.6943359375,157086000,Jakarta Composite Index,^JKSE,IDR,yfinance
Malaysia,2010-W04,2010-01-29,1259.1600341796875,1297.31005859375,1297.449951171875,1253.0899658203125,1259.1600341796875,604998400,FTSE Bursa Malaysia KLCI,^KLSE,MYR,yfinance
Philippines,2010-W04,2010-01-29,2953.18994140625,3008.760009765625,3008.760009765625,2903.85009765625,2952.4306640625,0,PSE Composite Index,PSEi.PS,PHP,yfinance
Singapore,2010-W04,2010-01-29,2745.35009765625,2819.7099609375,2822.090087890625,2706.260009765625,2745.35009765625,0,Straits Times Index,^STI,SGD,yfinance
Thailand,2010-W04,2010-01-29,696.5499877929688,706.760009765625,713.8900146484375,682.1699829101562,696.5499877929688,10755800,SET Index,^SET.BK,THB,yfinance
Vietnam,2010-W04,2010-01-29,482.0,476.8,498.2,476.8,482.0,128824320,VN-Index,VNINDEX,VND,vnstock
Indonesia,2010-W05,2010-02-05,2518.97607421875,2610.593017578125,2613.673095703125,2506.888916015625,2518.878173828125,174094000,Jakarta Composite Index,^JKSE,IDR,yfinance
Malaysia,2010-W05,2010-02-05,1247.9000244140625,1261.199951171875,1268.2099609375,1247.4599609375,1247.9000244140625,416473100,FTSE Bursa Malaysia KLCI,^KLSE,MYR,yfinance
Philippines,2010-W05,2010-02-05,2855.639892578125,2950.02001953125,2950.02001953125,2826.580078125,2854.90576171875,0,PSE Composite Index,PSEi.PS,PHP,yfinance
Singapore,2010-W05,2010-02-05,2683.56005859375,2745.35009765625,2772.300048828125,2680.139892578125,2683.56005859375,0,Straits Times Index,^STI,SGD,yfinance
Thailand,2010-W05,2010-02-05,691.4099731445312,692.6599731445312,708.510009765625,685.6900024414062,691.4099731445312,10310400,SET Index,^SET.BK,THB,yfinance
Vietnam,2010-W05,2010-02-05,493.0,482.9,504.4,481.8,493.0,135239310,VN-Index,VNINDEX,VND,vnstock
Indonesia,2010-W06,2010-02-12,2534.136962890625,2518.60693359375,2536.56591796875,2431.837890625,2534.038330078125,172282600,Jakarta Composite Index,^JKSE,IDR,yfinance
Malaysia,2010-W06,2010-02-12,1253.3900146484375,1247.81005859375,1254.77001953125,1224.3699951171875,1253.3900146484375,523456300,FTSE Bursa Malaysia KLCI,^KLSE,MYR,yfinance
Philippines,2010-W06,2010-02-12,2949.64990234375,2854.840087890625,2955.909912109375,2787.659912109375,2948.8916015625,0,PSE Composite Index,PSEi.PS,PHP,yfinance
Singapore,2010-W06,2010-02-12,2758.89990234375,2683.56005859375,2766.419921875,2665.969970703125,2758.89990234375,0,Straits Times Index,^STI,SGD,yfinance
Thailand,2010-W06,2010-02-12,698.030029296875,689.0800170898438,701.6199951171875,679.4500122070312,698.030029296875,8160000,SET Index,^SET.BK,THB,yfinance
Vietnam,2010-W06,2010-02-12,507.0,488.9,508.7,482.4,507.0,96460160,VN-Index,VNINDEX,VND,vnstock
Indonesia,2010-W08,2010-02-26,2549.032958984375,2554.779052734375,2583.695068359375,2536.092041015625,2548.933837890625,115418400,Jakarta Composite Index,^JKSE,IDR,yfinance
