country,year_week,date,close,open,high,low,adjusted_close,volume,index_name,ticker,currency,source
Malaysia,2010-W08,2010-02-26,1270.780029296875,1260.510009765625,1277.6600341796875,1260.510009765625,1270.780029296875,458838300,FTSE Bursa Malaysia KLCI,^KLSE,MYR,yfinance
Philippines,2010-W08,2010-02-26,3043.75,3006.2900390625,3043.75,2980.52001953125,3042.967529296875,0,PSE Composite Index,PSEi.PS,PHP,yfinance
Singapore,2010-W08,2010-02-26,2750.860107421875,2757.139892578125,2782.550048828125,2737.639892578125,2750.860107421875,0,Straits Times Index,^STI,SGD,yfinance
Thailand,2010-W08,2010-02-26,721.3699951171875,706.3400268554688,723.6300048828125,703.6799926757812,721.3699951171875,11725900,SET Index,^SET.BK,THB,yfinance
Vietnam,2010-W08,2010-02-26,496.9,513.2,513.2,490.2,496.9,126124820,VN-Index,VNINDEX,VND,vnstock
Indonesia,2010-W09,2010-03-05,2578.77197265625,2548.8310546875,2585.83203125,2545.89306640625,2578.671630859375,128986800,Jakarta Composite Index,^JKSE,IDR,yfinance
Malaysia,2010-W09,2010-03-05,1299.780029296875,1276.52001953125,1300.739990234375,1276.52001953125,1299.780029296875,761412400,FTSE Bursa Malaysia KLCI,^KLSE,MYR,yfinance
Philippines,2010-W09,2010-03-05,3040.919921875,3037.679931640625,3099.47998046875,3034.1298828125,3040.13818359375,0,PSE Composite Index,PSEi.PS,PHP,yfinance
Singapore,2010-W09,2010-03-05,2790.2900390625,2750.860107421875,2792.639892578125,2749.739990234375,2790.2900390625,0,Straits Times Index,^STI,SGD,yfinance
Thailand,2010-W09,2010-03-05,723.9600219726562,724.5700073242188,737.9400024414062,723.3300170898438,723.9600219726562,13822600,SET Index,^SET.BK,THB,yfinance
Vietnam,2010-W09,2010-03-05,513.4,502.6,516.8,500.1,513.4,195352640,VN-Index,VNINDEX,VND,vnstock
Indonesia,2010-W10,2010-03-12,2666.510986328125,2578.97412109375,2687.117919921875,2578.97412109375,2666.4072265625,183974700,Jakarta Composite Index,^JKSE,IDR,yfinance
Malaysia,2010-W10,2010-03-12,1311.199951171875,1312.1800537109375,1334.3399658203125,1308.7900390625,1311.199951171875,649458100,FTSE Bursa Malaysia KLCI,^KLSE,MYR,yfinance
Philippines,2010-W10,2010-03-12,3072.909912109375,3077.929931640625,3130.330078125,3072.909912109375,3072.119873046875,0,PSE Composite Index,PSEi.PS,PHP,yfinance
Singapore,2010-W10,2010-03-12,2881.360107421875,2790.2900390625,2885.889892578125,2790.2900390625,2881.360107421875,0,Straits Times Index,^STI,SGD,yfinance
Thailand,2010-W10,2010-03-12,733.3400268554688,728.3900146484375,733.3400268554688,716.489990234375,733.3400268554688,12171000,SET Index,^SET.BK,THB,yfinance
Vietnam,2010-W10,2010-03-12,531.5,517.0,531.5,517.0,531.5,273879590,VN-Index,VNINDEX,VND,vnstock
Indonesia,2010-W11,2010-03-19,2742.97412109375,2666.409912109375,2779.35595703125,2658.554931640625,2742.8671875,194313100,Jakarta Composite Index,^JKSE,IDR,yfinance
Malaysia,2010-W11,2010-03-19,1296.5999755859375,1311.989990234375,1313.3599853515625,1294.8699951171875,1296.5999755859375,480250800,FTSE Bursa Malaysia KLCI,^KLSE,MYR,yfinance
Philippines,2010-W11,2010-03-19,3097.22998046875,3072.489990234375,3103.25,3062.169921875,3096.433837890625,0,PSE Composite Index,PSEi.PS,PHP,yfinance
Singapore,2010-W11,2010-03-19,2915.699951171875,2881.360107421875,2932.18994140625,2872.320068359375,2915.699951171875,0,Straits Times Index,^STI,SGD,yfinance
Thailand,2010-W11,2010-03-19,774.5900268554688,728.6500244140625,776.4199829101562,727.8099975585938,774.5900268554688,21752300,SET Index,^SET.BK,THB,yfinance
Vietnam,2010-W11,2010-03-19,516.0,538.0,538.0,510.5,516.0,266705170,VN-Index,VNINDEX,VND,vnstock
Indonesia,2010-W12,2010-03-26,2813.08203125,2742.672119140625,2814.861083984375,2698.262939453125,2812.97265625,177118200,Jakarta Composite Index,^JKSE,IDR,yfinance
Malaysia,2010-W12,2010-03-26,1315.1400146484375,1295.8299560546875,1315.1400146484375,1292.2099609375,1315.1400146484375,471310800,FTSE Bursa Malaysia KLCI,^KLSE,MYR,yfinance
Philippines,2010-W12,2010-03-26,3180.679931640625,3099.25,3181.0,3080.52001953125,3179.8623046875,0,PSE Composite Index,PSEi.PS,PHP,yfinance
Singapore,2010-W12,2010-03-26,2906.280029296875,2915.699951171875,2917.929931640625,2878.679931640625,2906.280029296875,0,Straits Times Index,^STI,SGD,yfinance
Thailand,2010-W12,2010-03-26,778.8599853515625,769.7999877929688,793.1400146484375,769.0,778.8599853515625,19053000,SET Index,^SET.BK,THB,yfinance
Vietnam,2010-W12,2010-03-26,505.3,515.7,517.8,501.6,505.3,225210720,VN-Index,VNINDEX,VND,vnstock
Indonesia,2010-W13,2010-04-02,2829.99609375,2813.490966796875,2834.240966796875,2758.261962890625,2829.885986328125,171314300,Jakarta Composite Index,^JKSE,IDR,yfinance
Malaysia,2010-W13,2010-04-02,1335.93994140625,1313.97998046875,1337.2099609375,1313.1099853515625,1335.93994140625,420780700,FTSE Bursa Malaysia KLCI,^KLSE,MYR,yfinance
Philippines,2010-W13,2010-04-02,3161.800048828125,3177.739990234375,3204.219970703125,3152.89990234375,3160.9873046875,0,PSE Composite Index,PSEi.PS,PHP,yfinance
Singapore,2010-W13,2010-04-02,2943.02001953125,2906.280029296875,2946.280029296875,2887.4599609375,2943.02001953125,0,Straits Times Index,^STI,SGD,yfinance
Thailand,2010-W13,2010-04-02,801.1500244140625,781.8200073242188,807.489990234375,769.1400146484375,801.1500244140625,17545700,SET Index,^SET.BK,THB,yfinance
Vietnam,2010-W13,2010-04-02,510.5,506.7,513.0,499.2,510.5,209325710,VN-Index,VNINDEX,VND,vnstock
Indonesia,2010-W14,2010-04-09,2845.010986328125,2831.031005859375,2916.10888671875,2831.031005859375,2844.900390625,288145500,Jakarta Composite Index,^JKSE,IDR,yfinance
Malaysia,2010-W14,2010-04-09,1333.97998046875,1339.300048828125,1347.6099853515625,1331.4599609375,1333.97998046875,465095700,FTSE Bursa Malaysia KLCI,^KLSE,MYR,yfinance
Philippines,2010-W14,2010-04-09,3256.1201171875,3172.5400390625,3282.25,3172.5400390625,3255.282958984375,0,PSE Composite Index,PSEi.PS,PHP,yfinance
Singapore,2010-W14,2010-04-09,2971.969970703125,2943.02001953125,2996.27001953125,2943.02001953125,2971.969970703125,0,Straits Times Index,^STI,SGD,yfinance
Thailand,2010-W14,2010-04-09,789.6599731445312,796.010009765625,820.0900268554688,775.2100219726562,789.6599731445312,13764300,SET Index,^SET.BK,THB,yfinance
Vietnam,2010-W14,2010-04-09,517.4,514.2,520.3,512.5,517.4,270939490,VN-Index,VNINDEX,VND,vnstock
Indonesia,2010-W15,2010-04-16,2878.6708984375,2845.614013671875,2913.718017578125,2845.614013671875,2878.558837890625,244302300,Jakarta Composite Index,^JKSE,IDR,yfinance
Malaysia,2010-W15,2010-04-16,1332.77001953125,1336.3900146484375,1344.1199951171875,1330.27001953125,1332.77001953125,458034500,FTSE Bursa Malaysia KLCI,^KLSE,MYR,yfinance
Philippines,2010-W15,2010-04-16,3265.5400390625,3256.1201171875,3322.89990234375,3240.3701171875,3264.700439453125,0,PSE Composite Index,PSEi.PS,PHP,yfinance
Singapore,2010-W15,2010-04-16,3007.18994140625,2971.969970703125,3037.969970703125,2953.81005859375,3007.18994140625,0,Straits Times Index,^STI,SGD,yfinance
Thailand,2010-W15,2010-04-16,736.1599731445312,755.4099731445312,763.8599853515625,736.1599731445312,736.1599731445312,6270800,SET Index,^SET.BK,THB,yfinance
Vietnam,2010-W15,2010-04-16,522.0,522.1,524.0,515.8,522.0,255469480,VN-Index,VNINDEX,VND,vnstock
Indonesia,2010-W16,2010-04-23,2924.73095703125,2877.968017578125,2927.39404296875,2811.7880859375,2924.616943359375,232416300,Jakarta Composite Index,^JKSE,IDR,yfinance
Malaysia,2010-W16,2010-04-23,1336.780029296875,1329.72998046875,1339.1500244140625,1321.25,1336.780029296875,385842800,FTSE Bursa Malaysia KLCI,^KLSE,MYR,yfinance
Philippines,2010-W16,2010-04-23,3244.449951171875,3232.179931640625,3251.989990234375,3145.469970703125,3243.615966796875,0,PSE Composite Index,PSEi.PS,PHP,yfinance
Singapore,2010-W16,2010-04-23,2988.489990234375,3007.18994140625,3007.18994140625,2943.5,2988.489990234375,0,Straits Times Index,^STI,SGD,yfinance
Thailand,2010-W16,2010-04-23,754.5800170898438,726.760009765625,770.5499877929688,714.6599731445312,754.5800170898438,12526700,SET Index,^SET.BK,THB,yfinance
Vietnam,2010-W16,2010-04-23,529.3,521.4,531.0,515.2,529.3,243130720,VN-Index,VNINDEX,VND,vnstock
Indonesia,2010-W17,2010-04-30,2971.251953125,2924.931884765625,2972.9169921875,2875.66796875,2971.136474609375,248152700,Jakarta Composite Index,^JKSE,IDR,yfinance
Malaysia,2010-W17,2010-04-30,1346.3800048828125,1336.5,1348.1500244140625,1324.3399658203125,1346.3800048828125,441423400,FTSE Bursa Malaysia KLCI,^KLSE,MYR,yfinance
Philippines,2010-W17,2010-04-30,3290.090087890625,3260.2099609375,3327.989990234375,3247.780029296875,3289.244384765625,0,PSE Composite Index,PSEi.PS,PHP,yfinance
Singapore,2010-W17,2010-04-30,2974.610107421875,2988.489990234375,3007.199951171875,2932.0400390625,2974.610107421875,0,Straits Times Index,^STI,SGD,yfinance
Thailand,2010-W17,2010-04-30,763.510009765625,763.489990234375,770.0900268554688,748.8699951171875,763.510009765625,11187400,SET Index,^SET.BK,THB,yfinance
Vietnam,2010-W17,2010-04-30,542.4,531.7,542.7,531.2,542.4,247822600,VN-Index,VNINDEX,VND,vnstock
Indonesia,2010-W18,2010-05-07,2739.3330078125,2971.7470703125,2996.4189453125,2705.205078125,2739.226318359375,229654000,Jakarta Composite Index,^JKSE,IDR,yfinance
Malaysia,2010-W18,2010-05-07,1332.8900146484375,1344.239990234375,1349.9200439453125,1315.6300048828125,1332.8900146484375,553573100,FTSE Bursa Malaysia KLCI,^KLSE,MYR,yfinance
Philippines,2010-W18,2010-05-07,3142.06005859375,3305.590087890625,3306.330078125,3073.7099609375,3141.252197265625,0,PSE Composite Index,PSEi.PS,PHP,yfinance
Singapore,2010-W18,2010-05-07,2821.110107421875,2974.610107421875,2974.610107421875,2775.199951171875,2821.110107421875,0,Straits Times Index,^STI,SGD,yfinance
Thailand,2010-W18,2010-05-07,768.5499877929688,786.6199951171875,798.6699829101562,761.02001953125,768.5499877929688,10380300,SET Index,^SET.BK,THB,yfinance
Vietnam,2010-W18,2010-05-07,542.0,544.5,551.4,536.5,542.0,352605200,VN-Index,VNINDEX,VND,vnstock
Indonesia,2010-W19,2010-05-14,2858.385009765625,2739.927001953125,2869.486083984375,2739.927001953125,2858.27392578125,163787300,Jakarta Composite Index,^JKSE,IDR,yfinance
Malaysia,2010-W19,2010-05-14,1339.300048828125,1331.5999755859375,1348.0899658203125,1330.9599609375,1339.300048828125,465891800,FTSE Bursa Malaysia KLCI,^KLSE,MYR,yfinance
Philippines,2010-W19,2010-05-14,3330.419921875,3142.06005859375,3342.31005859375,3142.06005859375,3329.563720703125,0,PSE Composite Index,PSEi.PS,PHP,yfinance
Singapore,2010-W19,2010-05-14,2855.2099609375,2821.110107421875,2899.18994140625,2819.610107421875,2855.2099609375,0,Straits Times Index,^STI,SGD,yfinance
Thailand,2010-W19,2010-05-14,768.7899780273438,772.1199951171875,787.3800048828125,755.489990234375,768.7899780273438,15300000,SET Index,^SET.BK,THB,yfinance
Vietnam,2010-W19,2010-05-14,520.7,541.5,541.5,516.1,520.7,303058030,VN-Index,VNINDEX,VND,vnstock
Indonesia,2010-W20,2010-05-21,2623.220947265625,2857.989013671875,2857.989013671875,2584.968994140625,2623.118896484375,196754000,Jakarta Composite Index,^JKSE,IDR,yfinance
Malaysia,2010-W20,2010-05-21,1285.72998046875,1337.239990234375,1337.300048828125,1280.6300048828125,1285.72998046875,551504900,FTSE Bursa Malaysia KLCI,^KLSE,MYR,yfinance
Philippines,2010-W20,2010-05-21,3179.360107421875,3316.85009765625,3322.43994140625,3147.8798828125,3178.542724609375,0,PSE Composite Index,PSEi.PS,PHP,yfinance
Singapore,2010-W20,2010-05-21,2701.199951171875,2855.2099609375,2855.2099609375,2676.5,2701.199951171875,0,Straits Times Index,^STI,SGD,yfinance
Thailand,2010-W20,2010-05-21,765.5399780273438,744.8499755859375,765.5399780273438,744.5499877929688,765.5399780273438,5176200,SET Index,^SET.BK,THB,yfinance
Vietnam,2010-W20,2010-05-21,483.7,521.3,521.7,481.7,483.7,260851890,VN-Index,VNINDEX,VND,vnstock
Indonesia,2010-W21,2010-05-28,2713.923095703125,2623.716064453125,2732.06201171875,2502.053955078125,2713.8173828125,322933500,Jakarta Composite Index,^JKSE,IDR,yfinance
Malaysia,2010-W21,2010-05-28,1269.1600341796875,1282.9599609375,1282.9599609375,1243.8599853515625,1269.1600341796875,603748000,FTSE Bursa Malaysia KLCI,^KLSE,MYR,yfinance
Philippines,2010-W21,2010-05-28,3252.6298828125,3198.530029296875,3252.6298828125,3093.8798828125,3251.793701171875,0,PSE Composite Index,PSEi.PS,PHP,yfinance
Singapore,2010-W21,2010-05-28,2739.699951171875,2701.199951171875,2748.080078125,2648.14990234375,2739.699951171875,0,Straits Times Index,^STI,SGD,yfinance
Thailand,2010-W21,2010-05-28,737.280029296875,759.9000244140625,760.3900146484375,720.469970703125,737.280029296875,11003000,SET Index,^SET.BK,THB,yfinance
Vietnam,2010-W21,2010-05-28,513.0,485.1,513.3,479.6,513.0,211284450,VN-Index,VNINDEX,VND,vnstock
Indonesia,2010-W22,2010-06-04,2823.2509765625,2714.319091796875,2823.864013671875,2714.319091796875,2823.14111328125,283906300,Jakarta Composite Index,^JKSE,IDR,yfinance
Malaysia,2010-W22,2010-06-04,1294.3900146484375,1276.4300537109375,1297.75,1271.550048828125,1294.3900146484375,482379500,FTSE Bursa Malaysia KLCI,^KLSE,MYR,yfinance
Philippines,2010-W22,2010-06-04,3357.050048828125,3235.989990234375,3367.89990234375,3232.72998046875,3356.18701171875,0,PSE Composite Index,PSEi.PS,PHP,yfinance
Singapore,2010-W22,2010-06-04,2806.510009765625,2739.699951171875,2821.830078125,2710.800048828125,2806.510009765625,0,Straits Times Index,^STI,SGD,yfinance
Thailand,2010-W22,2010-06-04,771.47998046875,742.489990234375,771.530029296875,740.9199829101562,771.47998046875,12994800,SET Index,^SET.BK,THB,yfinance
Vietnam,2010-W22,2010-06-04,510.4,510.5,516.2,503.7,510.4,202959610,VN-Index,VNINDEX,VND,vnstock
Indonesia,2010-W23,2010-06-11,2801.89892578125,2820.875,2820.875,2698.281005859375,2801.789794921875,189088600,Jakarta Composite Index,^JKSE,IDR,yfinance
Malaysia,2010-W23,2010-06-11,1294.6700439453125,1284.510009765625,1302.0699462890625,1278.8900146484375,1294.6700439453125,349895200,FTSE Bursa Malaysia KLCI,^KLSE,MYR,yfinance
Philippines,2010-W23,2010-06-11,3265.43994140625,3293.969970703125,3297.27001953125,3219.4599609375,3264.6005859375,0,PSE Composite Index,PSEi.PS,PHP,yfinance
Singapore,2010-W23,2010-06-11,2796.2900390625,2736.669921875,2806.31005859375,2726.800048828125,2796.2900390625,0,Straits Times Index,^STI,SGD,yfinance
Thailand,2010-W23,2010-06-11,769.5499877929688,757.030029296875,774.8599853515625,754.5999755859375,769.5499877929688,13298800,SET Index,^SET.BK,THB,yfinance
Vietnam,2010-W23,2010-06-11,504.3,498.9,506.8,493.2,504.3,186451820,VN-Index,VNINDEX,VND,vnstock
Indonesia,2010-W24,2010-06-18,2929.589111328125,2802.096923828125,2932.06396484375,2802.096923828125,2929.47509765625,212825500,Jakarta Composite Index,^JKSE,IDR,yfinance
Malaysia,2010-W24,2010-06-18,1317.68994140625,1294.8900146484375,1317.68994140625,1294.5999755859375,1317.68994140625,299913500,FTSE Bursa Malaysia KLCI,^KLSE,MYR,yfinance
Philippines,2010-W24,2010-06-18,3335.47998046875,3266.22998046875,3336.97998046875,3266.22998046875,3334.62255859375,0,PSE Composite Index,PSEi.PS,PHP,yfinance
Singapore,2010-W24,2010-06-18,2833.39990234375,2804.2900390625,2857.860107421875,2801.18994140625,2833.39990234375,0,Straits Times Index,^STI,SGD,yfinance
Thailand,2010-W24,2010-06-18,791.8499755859375,774.0,793.4500122070312,772.2100219726562,791.8499755859375,19706100,SET Index,^SET.BK,THB,yfinance
Vietnam,2010-W24,2010-06-18,511.2,506.6,514.0,506.3,511.2,227475760,VN-Index,VNINDEX,VND,vnstock
Indonesia,2010-W25,2010-06-25,2947.02294921875,2929.985107421875,2981.278076171875,2899.26611328125,2946.908203125,200977600,Jakarta Composite Index,^JKSE,IDR,yfinance
Malaysia,2010-W25,2010-06-25,1326.449951171875,1320.780029296875,1335.31005859375,1318.52001953125,1326.449951171875,404992800,FTSE Bursa Malaysia KLCI,^KLSE,MYR,yfinance
Philippines,2010-W25,2010-06-25,3352.4599609375,3342.679931640625,3363.860107421875,3315.85009765625,3351.59814453125,0,PSE Composite Index,PSEi.PS,PHP,yfinance
Singapore,2010-W25,2010-06-25,2851.639892578125,2862.77001953125,2890.090087890625,2831.64990234375,2851.639892578125,0,Straits Times Index,^STI,SGD,yfinance
Thailand,2010-W25,2010-06-25,793.6699829101562,799.489990234375,808.969970703125,786.510009765625,793.6699829101562,20329000,SET Index,^SET.BK,THB,yfinance
Vietnam,2010-W25,2010-06-25,505.1,515.1,515.8,505.1,505.1,266102190,VN-Index,VNINDEX,VND,vnstock
Indonesia,2010-W26,2010-07-02,2871.553955078125,2947.219970703125,2975.89599609375,2844.447998046875,2871.442138671875,145124900,Jakarta Composite Index,^JKSE,IDR,yfinance
Malaysia,2010-W26,2010-07-02,1307.43994140625,1326.06005859375,1331.0899658203125,1304.0899658203125,1307.43994140625,479372300,FTSE Bursa Malaysia KLCI,^KLSE,MYR,yfinance
Philippines,2010-W26,2010-07-02,3290.97998046875,3363.510009765625,3374.010009765625,3282.739990234375,3290.134033203125,0,PSE Composite Index,PSEi.PS,PHP,yfinance
Singapore,2010-W26,2010-07-02,2844.18994140625,2854.72998046875,2882.7900390625,2770.1201171875,2844.18994140625,0,Straits Times Index,^STI,SGD,yfinance
Thailand,2010-W26,2010-07-02,802.5700073242188,798.1199951171875,804.4500122070312,794.5399780273438,802.5700073242188,15863500,SET Index,^SET.BK,THB,yfinance
Vietnam,2010-W26,2010-07-02,503.7,505.4,511.4,501.1,503.7,208277230,VN-Index,VNINDEX,VND,vnstock
Indonesia,2010-W27,2010-07-09,2943.89599609375,2871.948974609375,2943.9599609375,2864.74609375,2943.781494140625,152530600,Jakarta Composite Index,^JKSE,IDR,yfinance
Malaysia,2010-W27,2010-07-09,1324.31005859375,1305.510009765625,1327.27001953125,1294.3699951171875,1324.31005859375,479615600,FTSE Bursa Malaysia KLCI,^KLSE,MYR,yfinance
Philippines,2010-W27,2010-07-09,3394.56005859375,3291.81005859375,3412.409912109375,3281.3798828125,3393.6875,0,PSE Composite Index,PSEi.PS,PHP,yfinance
Singapore,2010-W27,2010-07-09,2917.169921875,2855.070068359375,2919.280029296875,2827.2099609375,2917.169921875,0,Straits Times Index,^STI,SGD,yfinance
Thailand,2010-W27,2010-07-09,820.5999755859375,804.7000122070312,826.0900268554688,803.4099731445312,820.5999755859375,33486200,SET Index,^SET.BK,THB,yfinance
Vietnam,2010-W27,2010-07-09,499.5,505.7,507.1,496.9,499.5,185953330,VN-Index,VNINDEX,VND,vnstock
Indonesia,2010-W28,2010-07-16,2992.449951171875,2942.126953125,2994.5869140625,2940.60400390625,2992.33349609375,190458600,Jakarta Composite Index,^JKSE,IDR,yfinance
Malaysia,2010-W28,2010-07-16,1336.6500244140625,1323.9100341796875,1341.9599609375,1323.550048828125,1336.6500244140625,476916200,FTSE Bursa Malaysia KLCI,^KLSE,MYR,yfinance
Philippines,2010-W28,2010-07-16,3442.679931640625,3395.330078125,3485.93994140625,3395.330078125,3441.794921875,0,PSE Composite Index,PSEi.PS,PHP,yfinance
Singapore,2010-W28,2010-07-16,2957.719970703125,2923.22998046875,2958.5400390625,2914.659912109375,2957.719970703125,0,Straits Times Index,^STI,SGD,yfinance
Thailand,2010-W28,2010-07-16,827.5399780273438,824.7000122070312,830.989990234375,813.0,827.5399780273438,35897800,SET Index,^SET.BK,THB,yfinance
Vietnam,2010-W28,2010-07-16,506.2,499.8,512.8,497.2,506.2,202919510,VN-Index,VNINDEX,VND,vnstock
Indonesia,2010-W29,2010-07-23,3042.02001953125,2992.155029296875,3051.364990234375,2948.029052734375,3041.901611328125,215933500,Jakarta Composite Index,^JKSE,IDR,yfinance
Malaysia,2010-W29,2010-07-23,1345.6800537109375,1333.9200439453125,1345.6800537109375,1327.97998046875,1345.6800537109375,427290700,FTSE Bursa Malaysia KLCI,^KLSE,MYR,yfinance
Philippines,2010-W29,2010-07-23,3416.10009765625,3427.199951171875,3445.8701171875,3397.56005859375,3415.221923828125,0,PSE Composite Index,PSEi.PS,PHP,yfinance
Singapore,2010-W29,2010-07-23,2973.469970703125,2936.739990234375,2979.449951171875,2926.090087890625,2973.469970703125,0,Straits Times Index,^STI,SGD,yfinance
Thailand,2010-W29,2010-07-23,840.239990234375,827.0399780273438,842.489990234375,820.4099731445312,840.239990234375,38511800,SET Index,^SET.BK,THB,yfinance
Vietnam,2010-W29,2010-07-23,500.3,504.3,507.3,499.7,500.3,209264770,VN-Index,VNINDEX,VND,vnstock
